,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"# Mod title and description.",,,,,,,,,,,,
"Title","Building Use","Gebäudenutzung","Edificio Uso","Bâtiment Utilisation","Edificio Utilizzo","建物の使用状","건물 사용","Wykorzystanie budynku","Edifício Utilização","Использование здания","建筑用途","建築用途"
"Description","New infoviews to display the use of buildings as a percent of their capacity.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"# Infoview titles.",,,,,,,,,,,,
"InfoviewTitleEmployees","@@Title – Employees","@@Title – Mitarbeiter","@@Title – Empleados","@@Title – Employés","@@Title – Dipendenti","@@Title – 従業員","@@Title – 직원","@@Title – Pracownicy","@@Title – Funcionários","@@Title – Сотрудники","@@Title – 员工","@@Title – 僱員"
"InfoviewTitleVisitors","@@Title – Visitors","@@Title – Besucher","@@Title – Visitantes","@@Title – Visiteurs","@@Title – Visitatori","@@Title – 訪問者","@@Title – 방문자","@@Title – Odwiedzający","@@Title – Visitantes","@@Title – Посетители","@@Title – 访客","@@Title – 訪客"
"InfoviewTitleStorage","@@Title – Storage","@@Title – Speicherung","@@Title – Almacenamiento","@@Title – Entreposage","@@Title – Deposito","@@Title – 保管","@@Title – 보관","@@Title – Magazynowanie","@@Title – Armazenamento","@@Title – Хранение","@@Title – 仓储","@@Title – 貯存"
"InfoviewTitleVehicles","@@Title – Vehicles","@@Title – Fahrzeuge","@@Title – Vehículos","@@Title – Véhicules","@@Title – Veicoli","@@Title – 車両","@@Title – 차량","@@Title – Pojazdy","@@Title – Veículos","@@Title – Транспортные средства","@@Title – 车辆","@@Title – 車輛"
"InfoviewTitleEfficiency","@@Title – Efficiency","@@Title – Effizienz","@@Title – Eficiencia","@@Title – Efficacité","@@Title – Efficienza","@@Title – 効率","@@Title – 능률","@@Title – Skuteczność","@@Title – Eficiência","@@Title – Эффективность","@@Title – 效率","@@Title – 效率"
"InfoviewTitleProcessing","@@Title – Processing","@@Title – Verarbeitung","@@Title – Procesado","@@Title – Traitement","@@Title – Elaborazione","@@Title – 加工処理","@@Title – 처리","@@Title – Przetwarzanie","@@Title – Processamento","@@Title – Обработка","@@Title – 加工","@@Title – 加工"
,,,,,,,,,,,,
"# Infomode titles.",,,,,,,,,,,,
"InfomodeTitleEmployeesResidential","Residential","Wohnen","Vivienda","Habitation","Residenziale","住宅","주거","Mieszkania","Residencial","Жилье","住宅","住宅"
"InfomodeTitleEmployeesCommercial","Commercial","Gewerbe","Comercio","Commerciale","Commerciale","商業","상업","Komercja","Comercial","Торговля","商业","商業"
"InfomodeTitleEmployeesIndustrial","Industrial","Industrie","Industria","Industrielle","Industriale","産業","산업","Przemysł","Industrial","Промышленность","工业","工業"
"InfomodeTitleEmployeesOffice","Office","Büro","Oficina","Bureaux","Ufficio","オフィス","사무지","Biura","Escritórios","Офисы","办公","辦公"
"InfomodeTitleEmployeesParking","Parking","Parken","Aparcamiento","Stationnement","Parcheggio","駐車場","주차","Parking","Estacionamento","Парковка","停车场","停車"
"InfomodeTitleEmployeesRoadMaintenance","Road Maintenance","Straßenunterhaltung","Mantenimiento de carreteras","Entretien des routes","Manutenzione stradale","道路整備","도로 유지 관리","Utrzymanie dróg","Manutenção de estradas","Техническое обслуживание дорог","道路维护","道路養護"
"InfomodeTitleEmployeesElectricity","Electricity","Strom","Electricidad","Électricité","Elettricità","電気","전기","Elektryczność","Eletricidade","Электричество","电力","電力"
"InfomodeTitleEmployeesWater","Water","Wasser","Agua","Eau","Acqua","水","수도","Woda","Água","Вода","水资源","水"
"InfomodeTitleEmployeesSewage","Sewage","Abwasser","Aguas residuales","Égouts","Liquami","下水","하수","Kanalizacja","Esgoto","Канализация","污水","汙水"
"InfomodeTitleEmployeesHealthcare","Healthcare","Gesundheitsfürsorge","Sanidad","Services médicaux","Assistenza sanitaria","医療","의료","Służba zdrowia","Sistema de saúde","Здравоохранение","医疗卫生","醫療衛生"
"InfomodeTitleEmployeesDeathcare","Deathcare","Bestattung","Funeraria","Soins mortuaires","Pompe funebri","葬儀","장례","Służby pogrzebowe","Assistência funerária","Ритуальные услуги","殡葬","殯葬業"
"InfomodeTitleEmployeesGarbageManagement","Garbage Management","Abfallwirtschaft","Gestión de residuos","Gestion des déchets","Gestione dei rifiuti","ゴミ処理","폐기물 관리","Zarządzanie odpadami","Gerenciamento de lixo","Утилизация отходов","环境卫生","垃圾管理"
"InfomodeTitleEmployeesEducation","Education","Bildung","Educación","Éducation","Istruzione","教育","교육","Edukacja","Educação","Образование","教育","教育"
"InfomodeTitleEmployeesResearch","Research","Forschung","Investigación","Recherche","Ricerca","研究","연구","Badania","Pesquisa","Исследования","研究","研究"
"InfomodeTitleEmployeesFireRescue","Fire & Rescue","Feuerwehr- und Rettungsdienst","Bomberos","Sapeurs-pompiers","Antincendio","火災・救護","소방 구조","Ochrona ppoż.","Incêndio e Resgate","Пожарные и спасатели","消防与救援","消防救援"
"InfomodeTitleEmployeesDisasterControl","Disaster Control","Katastrophenschutz","Control de catástrofes","Lutte contre les catastrophes","Controllo disastri","災害対策","재난 관리","Kontrola katastrof","Controle de desastres","Борьба с массовыми бедствиями","灾害控制","災難控制"
"InfomodeTitleEmployeesPolice","Police","Polizei","Policía","Police","Polizia","警察","경찰","Policja","Polícia","Полиция","警察","警察"
"InfomodeTitleEmployeesAdministration","Administration","Verwaltung","Administración","Administration","Amministrazione","行政","행정","Administracja","Administração","Администрация","行政","行政"
"InfomodeTitleEmployeesTransportation","Transportation","Transport","Transporte","Transport","Trasporti","交通","교통","Transport","Transporte","Транспорт","交通运输","運輸"
"InfomodeTitleEmployeesParkMaintenance","Park Maintenance","Parkpflege","Mantenimiento de parques","Entretien des parcs","Manutenzione parchi","公園の整備","공원 관리","Zarząd parku","Manutenção de parques","Обслуживание парков","公园维护","公園維護"
